Issue Type,Summary,Description,Priority,Status,Labels,Epic Name,Epic Link,Story Points,Parallel Stream,Dependency Hint
"Task","Expose renderer APIs through preload bridge","Main renderer communication API surface is exposed through contextBridge.","Medium","Done","v1-0,lane-core,backend,frontend,ipc","","TI-EPIC-01 Core Platform Stability",2,"lane-core","None"
"Bug","Fix DB lifecycle on macOS window close and app reactivate","DB is currently closed on window-all-closed while app remains active on macOS causing subsequent DB calls to fail.","Highest","To Do","v1-0,lane-core,backend,bug,p0","","TI-EPIC-01 Core Platform Stability",5,"lane-core","None"
"Bug","Refactor IPC handlers to avoid stale BrowserWindow references","Import dialogs and device events rely on a captured window instance that can be destroyed and break IPC/device flow.","Highest","To Do","v1-0,lane-core,backend,ipc,bug,p0","","TI-EPIC-01 Core Platform Stability",5,"lane-core","None"
"Task","Enable PRAGMA foreign_keys and integrity verification","Foreign key constraints are declared but not enforced and must be enabled for data correctness.","High","To Do","v1-0,lane-core,backend,data","","TI-EPIC-01 Core Platform Stability",2,"lane-core","None"
"Task","Add standardized IPC error envelope and main-process logging","Return typed error payloads to renderer and centralize logs for diagnosability.","High","To Do","v1-0,lane-core,backend,ipc,observability","","TI-EPIC-01 Core Platform Stability",3,"lane-core","None"
"Task","Pin supported Node runtime and native module compatibility script","Define runtime matrix and guard native dependency compatibility for deterministic local and CI behavior.","High","To Do","v1-0,lane-core,backend,tooling","","TI-EPIC-01 Core Platform Stability",3,"lane-core","None"
"Story","Recursive folder import with metadata extraction","Directory scan parse and upsert behavior exists for supported file formats.","Medium","Done","v1-0,lane-library,backend","","TI-EPIC-02 Library Management",5,"lane-library","None"
"Story","Virtualized track library list UI","Renderer shows a virtualized list for library tracks and supports play/add actions.","Medium","Done","v1-0,lane-library,frontend","","TI-EPIC-02 Library Management",3,"lane-library","None"
"Bug","Continue import when file stat or metadata parse fails","Single corrupt or unreadable file should not abort entire import process.","Highest","To Do","v1-0,lane-library,backend,bug,p0","","TI-EPIC-02 Library Management",5,"lane-library","None"
"Story","Return import summary with imported skipped and errors","Expose structured import results so UI can report what succeeded and what failed.","High","To Do","v1-0,lane-library,backend,frontend","","TI-EPIC-02 Library Management",3,"lane-library","Depends on Continue import when file stat or metadata parse fails"
"Story","Persist library roots and implement incremental rescan","Store selected roots and support incremental refresh instead of full re-import each time.","High","To Do","v1-0,lane-library,backend,data","","TI-EPIC-02 Library Management",5,"lane-library","None"
"Story","Add search filter and sort controls to library view","Allow users to find tracks quickly by title artist album and sort strategy.","High","To Do","v1-0,lane-library,frontend,ux","","TI-EPIC-02 Library Management",5,"lane-library","None"
"Task","Reconcile missing files and deduplicate library records","Handle deleted files and duplicate content to keep library state clean over time.","High","To Do","v1-0,lane-library,backend,data","","TI-EPIC-02 Library Management",5,"lane-library","Depends on Persist library roots and implement incremental rescan"
"Story","Create playlist flow","Playlist creation path from renderer through IPC and DB exists.","Medium","Done","v1-0,lane-playlist,backend,frontend","","TI-EPIC-03 Playlist Management",2,"lane-playlist","None"
"Story","Add track to playlist flow","Track assignment to playlist via IPC and persistence exists.","Medium","Done","v1-0,lane-playlist,backend,frontend","","TI-EPIC-03 Playlist Management",2,"lane-playlist","None"
"Story","Playlist list and counter rendering","Playlist cards and per-playlist track counters are displayed in UI.","Medium","Done","v1-0,lane-playlist,frontend","","TI-EPIC-03 Playlist Management",2,"lane-playlist","None"
"Bug","Fix playlist track count drift on duplicate add","DB insert is ignored for duplicates but UI currently increments count unconditionally.","Highest","To Do","v1-0,lane-playlist,backend,frontend,bug,p0","","TI-EPIC-03 Playlist Management",3,"lane-playlist","None"
"Task","Return inserted or ignored result from addTrackToPlaylist IPC","API contract should indicate whether mutation occurred to keep UI and DB consistent.","High","To Do","v1-0,lane-playlist,backend,ipc","","TI-EPIC-03 Playlist Management",3,"lane-playlist","Depends on Fix playlist track count drift on duplicate add"
"Story","Playlist detail view with remove track rename and delete playlist","Complete core CRUD operations for day-to-day playlist management.","High","To Do","v1-0,lane-playlist,frontend,backend","","TI-EPIC-03 Playlist Management",8,"lane-playlist","None"
"Story","Reorder playlist tracks and support bulk add from library","Improve playlist authoring speed and ordering control.","Medium","To Do","v1-0,lane-playlist,frontend,backend","","TI-EPIC-03 Playlist Management",8,"lane-playlist","Depends on Playlist detail view with remove track rename and delete playlist"
"Story","Basic playback transport play pause next","Core playback controls exist with Howler integration.","Medium","Done","v1-0,lane-playback,frontend","","TI-EPIC-04 Playback Experience",3,"lane-playback","None"
"Task","Stabilize autoplay next behavior and queue indexing","Ensure next-track transitions are deterministic and robust for edge cases.","High","To Do","v1-0,lane-playback,frontend,bug","","TI-EPIC-04 Playback Experience",3,"lane-playback","None"
"Story","Playback progress bar and seek support","Show elapsed time and allow jumping to any position.","High","To Do","v1-0,lane-playback,frontend,ux","","TI-EPIC-04 Playback Experience",5,"lane-playback","None"
"Story","Volume and mute controls with persisted preference","Support expected desktop audio controls and retain user setting across sessions.","High","To Do","v1-0,lane-playback,frontend,ux","","TI-EPIC-04 Playback Experience",3,"lane-playback","None"
"Story","Previous track plus shuffle and repeat modes","Complete core transport feature set required for v1.0 parity.","Medium","To Do","v1-0,lane-playback,frontend,ux","","TI-EPIC-04 Playback Experience",5,"lane-playback","None"
"Bug","Playback failure handling with user-friendly errors and logs","Display actionable errors on unsupported or unreadable media and log details.","High","To Do","v1-0,lane-playback,frontend,backend,bug","","TI-EPIC-04 Playback Experience",3,"lane-playback","None"
"Task","Add keyboard shortcuts for transport controls","Improve usability with space next previous and mute shortcuts.","Low","To Do","v1-0,lane-playback,frontend,ux","","TI-EPIC-04 Playback Experience",2,"lane-playback","Depends on Playback progress bar and seek support"
"Story","Device mount detection pipeline","Main process emits mount events and renderer receives device payloads.","Medium","Done","v1-0,lane-device,backend,frontend","","TI-EPIC-05 Device Sync MVP",3,"lane-device","None"
"Story","Connected devices panel UI","Renderer view for detected devices exists with basic details.","Medium","Done","v1-0,lane-device,frontend","","TI-EPIC-05 Device Sync MVP",2,"lane-device","None"
"Bug","Return unsubscribe function for device mounted listener and apply cleanup","Prevent duplicate listeners and toasts in StrictMode and re-render scenarios.","High","To Do","v1-0,lane-device,frontend,backend,bug,p1","","TI-EPIC-05 Device Sync MVP",3,"lane-device","None"
"Task","Detect unmount events and keep device list accurate","Add unmount handling to avoid stale device entries.","High","To Do","v1-0,lane-device,backend,frontend","","TI-EPIC-05 Device Sync MVP",3,"lane-device","None"
"Task","Dedupe duplicate mount events and transient paths","Normalize device notifications to avoid noisy UX and incorrect counts.","Medium","To Do","v1-0,lane-device,backend","","TI-EPIC-05 Device Sync MVP",3,"lane-device","Depends on Return unsubscribe function for device mounted listener and apply cleanup"
"Story","Device destination picker and validation","Allow user to select target device root and validate writable destination.","High","To Do","v1-0,lane-device,frontend,backend","","TI-EPIC-05 Device Sync MVP",5,"lane-device","None"
"Story","Sync selected playlist to selected device","Implement copy pipeline from playlist tracks into device structure.","Highest","To Do","v1-0,lane-device,backend,frontend","","TI-EPIC-05 Device Sync MVP",8,"lane-device","Depends on Device destination picker and validation"
"Task","Transfer planner with free-space check progress cancel and final report","Provide safe preflight and observability during long-running copy operations.","High","To Do","v1-0,lane-device,backend,frontend","","TI-EPIC-05 Device Sync MVP",8,"lane-device","Depends on Sync selected playlist to selected device"
"Story","M3U export backend API","Playlist export writer and preview endpoints are present.","Medium","Done","v1-0,lane-export,backend","","TI-EPIC-06 Export and Conversion",3,"lane-export","None"
"Task","FFmpeg conversion helper scaffold","Conversion helper function exists as foundation for future conversion flows.","Low","Done","v1-0,lane-export,backend","","TI-EPIC-06 Export and Conversion",1,"lane-export","None"
"Story","Export UI flow with save dialog and completion feedback","Expose export operation in UI and report success or failure clearly.","High","To Do","v1-0,lane-export,frontend,backend","","TI-EPIC-06 Export and Conversion",5,"lane-export","None"
"Task","Validate and sanitize export target paths","Reject invalid dangerous or inaccessible paths before write operations.","High","To Do","v1-0,lane-export,backend,security","","TI-EPIC-06 Export and Conversion",3,"lane-export","None"
"Story","Add relative vs absolute path mode for M3U output","Allow compatibility choice for external players and removable media use.","Medium","To Do","v1-0,lane-export,backend,frontend","","TI-EPIC-06 Export and Conversion",3,"lane-export","Depends on Export UI flow with save dialog and completion feedback"
"Task","Detect FFmpeg availability and show actionable setup guidance","Fail gracefully with clear remediation if FFmpeg is missing.","High","To Do","v1-0,lane-export,backend,frontend","","TI-EPIC-06 Export and Conversion",2,"lane-export","None"
"Task","Conversion queue orchestration and mocked conversion tests","Support queued conversions and deterministic tests without real FFmpeg runtime.","Medium","To Do","v1-0,lane-export,backend,qa","","TI-EPIC-06 Export and Conversion",5,"lane-export","Depends on Detect FFmpeg availability and show actionable setup guidance"
"Task","ContextBridge API boundary is established","Renderer interacts through preload bridge rather than direct Node APIs.","Medium","Done","v1-0,lane-security,backend,frontend","","TI-EPIC-07 Security and Hardening",2,"lane-security","None"
"Bug","Set explicit BrowserWindow security flags","Define contextIsolation nodeIntegration sandbox and related flags explicitly for hardened defaults.","Highest","To Do","v1-0,lane-security,backend,bug,p0","","TI-EPIC-07 Security and Hardening",3,"lane-security","None"
"Task","Add IPC payload validation schemas per channel","Validate all renderer-supplied inputs before DB and filesystem operations.","High","To Do","v1-0,lane-security,backend,ipc","","TI-EPIC-07 Security and Hardening",5,"lane-security","None"
"Task","Implement filesystem allowlist for import export and sync paths","Prevent arbitrary path operations outside approved user-selected roots.","High","To Do","v1-0,lane-security,backend,filesystem","","TI-EPIC-07 Security and Hardening",5,"lane-security","Depends on Add IPC payload validation schemas per channel"
"Task","Add strict Content Security Policy to renderer HTML","Reduce injection risk with explicit CSP and controlled resource origins.","Medium","To Do","v1-0,lane-security,frontend","","TI-EPIC-07 Security and Hardening",3,"lane-security","None"
"Task","Run dependency audit and patch critical vulnerabilities","Track and remediate vulnerable dependencies before v1.0 cut.","Medium","To Do","v1-0,lane-security,tooling","","TI-EPIC-07 Security and Hardening",3,"lane-security","None"
"Task","Jest baseline tests are configured","Unit test framework is present with initial coverage in key modules.","Medium","Done","v1-0,lane-qa,qa","","TI-EPIC-08 QA CI Release",2,"lane-qa","None"
"Task","Build and package scripts baseline","Project includes build pipelines for renderer and main process plus packaging entrypoint.","Medium","Done","v1-0,lane-qa,tooling","","TI-EPIC-08 QA CI Release",2,"lane-qa","None"
"Bug","Resolve better-sqlite3 ABI mismatch in test runtime matrix","Native module compatibility currently breaks tests in mismatched Node environments.","Highest","To Do","v1-0,lane-qa,tooling,bug,p0","","TI-EPIC-08 QA CI Release",3,"lane-qa","None"
"Task","Add regression tests for lifecycle window and playlist duplicate bugs","Cover critical bug fixes with unit or integration tests to prevent reintroduction.","High","To Do","v1-0,lane-qa,qa","","TI-EPIC-08 QA CI Release",5,"lane-qa","Depends on Fix DB lifecycle on macOS window close and app reactivate"
"Task","Add import resilience integration tests","Validate corrupt file handling import summaries and continuation behavior.","High","To Do","v1-0,lane-qa,qa","","TI-EPIC-08 QA CI Release",3,"lane-qa","Depends on Continue import when file stat or metadata parse fails"
"Task","Add playlist and export path integration tests","Ensure playlist mutations and export outputs remain consistent and valid.","High","To Do","v1-0,lane-qa,qa","","TI-EPIC-08 QA CI Release",3,"lane-qa","Depends on Return inserted or ignored result from addTrackToPlaylist IPC"
"Task","Add Playwright smoke suite for core user journeys","Automate high-value end-to-end checks for import playback playlist and export.","Medium","To Do","v1-0,lane-qa,qa,e2e","","TI-EPIC-08 QA CI Release",5,"lane-qa","Depends on Export UI flow with save dialog and completion feedback"
"Task","Create CI workflow for test build and artifact checks","Run deterministic checks on pull requests for faster safe parallel delivery.","High","To Do","v1-0,lane-qa,ci","","TI-EPIC-08 QA CI Release",5,"lane-qa","Depends on Resolve better-sqlite3 ABI mismatch in test runtime matrix"
"Task","README baseline documentation exists","Basic feature overview setup and scripts are documented.","Low","Done","v1-0,lane-pm,docs","","TI-EPIC-09 Docs Program Management",1,"lane-pm","None"
"Story","Define v1.0 acceptance criteria and release gate checklist","Document explicit done criteria across reliability UX security and quality.","High","To Do","v1-0,lane-pm,docs,release","","TI-EPIC-09 Docs Program Management",3,"lane-pm","None"
"Story","Create end-user guide and troubleshooting docs","Publish user-facing docs for import playback playlists device sync and exports.","Medium","To Do","v1-0,lane-pm,docs","","TI-EPIC-09 Docs Program Management",5,"lane-pm","Depends on Sync selected playlist to selected device"
"Story","Create contributor guide and environment setup matrix","Provide contributor onboarding steps runtime versions and common commands.","Medium","To Do","v1-0,lane-pm,docs,devex","","TI-EPIC-09 Docs Program Management",3,"lane-pm","Depends on Pin supported Node runtime and native module compatibility script"
"Task","Publish architecture decision record for data model and IPC contracts","Capture decisions and invariants to unblock parallel implementation by multiple engineers.","Medium","To Do","v1-0,lane-pm,docs,architecture","","TI-EPIC-09 Docs Program Management",3,"lane-pm","None"
"Task","Set up Gastown dispatch board with swimlanes WIP limits and ownership model","Create execution model that keeps cross-stream work parallel and measurable.","High","To Do","v1-0,lane-pm,planning,gastown","","TI-EPIC-09 Docs Program Management",2,"lane-pm","None"
